number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
8	0.760071	0.760071	0.032977	92.8962
7	0.239929	1	0.102051	2.77755
1	<7.14286e-05	1	0.038082	<0.00180435
2	<7.14286e-05	1	0.109581	<0.000580446
3	<7.14286e-05	1	0.15983	<0.000375502
4	<7.14286e-05	1	0.19164	<0.000301316
5	<7.14286e-05	1	0.19808	<0.000289197
6	<7.14286e-05	1	0.167759	<0.000354378
