number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
8	0.752143	0.752143	0.031574	93.0756
7	0.247857	1	0.100791	2.93995
1	<7.14286e-05	1	0.049675	<0.00136659
2	<7.14286e-05	1	0.099117	<0.000649267
3	<7.14286e-05	1	0.151887	<0.000398874
4	<7.14286e-05	1	0.191785	<0.000301034
5	<7.14286e-05	1	0.204209	<0.000278373
6	<7.14286e-05	1	0.170962	<0.0003464
