number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
8	0.794929	0.794929	0.041023	90.6158
7	0.205	0.999929	0.103306	2.23823
6	7.14286e-05	1	0.16292	0.000367025
1	<7.14286e-05	1	0.052131	<0.00129884
2	<7.14286e-05	1	0.104296	<0.000613479
3	<7.14286e-05	1	0.153721	<0.000393263
4	<7.14286e-05	1	0.188807	<0.000306909
5	<7.14286e-05	1	0.193796	<0.000297169
